CouncilDistrict,year,Month,not_cleared,cleared,other,tba
9,2003,November,9.54,30.77,4.63,55.06
4,2003,November,10.68,26.79,6.56,55.97
3,2003,November,17.34,26.15,5.11,51.40
1,2003,November,18.44,25.18,9.69,46.68
,2003,November,9.65,33.20,2.90,54.25
5,2003,November,17.44,18.52,3.86,60.19
10,2003,November,9.87,12.72,3.51,73.90
2,2003,November,16.51,22.82,5.47,55.21
7,2003,November,10.06,15.08,4.47,70.39
8,2003,November,14.25,21.51,4.75,59.50
6,2003,November,11.52,14.29,2.76,71.43
3,2003,December,16.55,28.30,6.18,48.97
4,2003,December,9.84,26.77,6.65,56.74
6,2003,December,12.79,16.28,2.71,68.22
1,2003,December,19.20,27.53,8.65,44.62
9,2003,December,9.55,33.05,3.54,53.86
7,2003,December,9.61,18.27,3.79,68.34
5,2003,December,17.87,17.05,5.41,59.67
8,2003,December,12.47,17.97,2.54,67.02
10,2003,December,8.98,15.29,2.67,73.06
2,2003,December,17.13,22.29,4.02,56.55
,2003,December,10.46,35.23,3.49,50.83
9,2004,January,8.79,34.59,3.97,52.64
1,2004,January,15.21,28.88,10.89,45.02
3,2004,January,12.16,33.81,5.75,48.27
5,2004,January,15.64,20.63,5.16,58.57
4,2004,January,9.12,27.60,5.00,58.28
2,2004,January,12.66,24.79,4.39,58.16
7,2004,January,8.82,16.71,5.21,69.25
,2004,January,8.63,31.43,4.07,55.70
6,2004,January,11.06,18.27,5.77,64.90
10,2004,January,7.94,16.93,3.44,71.69
8,2004,January,9.78,13.94,3.91,72.37
4,2004,February,7.69,25.30,6.10,60.90
9,2004,February,8.20,31.86,5.30,54.64
7,2004,February,8.90,17.26,7.57,66.27
1,2004,February,11.23,28.99,9.42,50.36
3,2004,February,11.54,31.60,4.94,51.92
5,2004,February,10.71,15.99,5.61,67.69
6,2004,February,9.24,19.02,7.61,64.13
,2004,February,6.70,36.18,3.85,53.27
10,2004,February,9.76,12.74,5.15,72.36
2,2004,February,11.59,23.89,3.46,61.05
8,2004,February,11.83,16.45,3.34,68.38
1,2004,March,12.40,28.19,11.06,48.35
2,2004,March,10.68,25.46,4.31,59.55
3,2004,March,12.76,28.47,4.73,54.04
9,2004,March,10.86,31.39,5.65,52.10
5,2004,March,13.29,20.57,6.65,59.49
7,2004,March,7.08,18.63,7.70,66.58
4,2004,March,6.80,29.78,5.11,58.30
8,2004,March,10.39,16.18,5.56,67.87
6,2004,March,11.24,12.45,5.22,71.08
10,2004,March,8.53,15.88,3.79,71.80
,2004,March,12.64,32.76,4.06,50.55
4,2004,April,6.59,27.72,5.21,60.48
3,2004,April,11.64,32.40,5.62,50.34
5,2004,April,10.09,19.73,5.04,65.13
9,2004,April,9.89,31.87,4.32,53.92
1,2004,April,12.44,27.41,9.33,50.83
7,2004,April,6.35,20.68,6.35,66.62
2,2004,April,11.59,26.83,4.37,57.22
8,2004,April,10.60,20.96,4.34,64.10
6,2004,April,9.65,14.04,4.82,71.49
10,2004,April,8.53,15.64,5.45,70.38
,2004,April,10.49,32.59,4.29,52.62
9,2004,May,10.47,31.08,4.68,53.77
1,2004,May,13.31,27.95,10.67,48.07
2,2004,May,14.74,22.91,4.35,58.01
4,2004,May,6.80,28.80,6.12,58.29
3,2004,May,12.98,33.55,6.60,46.86
8,2004,May,10.51,17.95,4.36,67.18
7,2004,May,8.55,19.87,6.16,65.41
10,2004,May,8.18,16.12,4.21,71.50
6,2004,May,10.33,17.36,5.79,66.53
5,2004,May,11.43,19.29,3.71,65.57
,2004,May,9.38,31.50,3.54,55.58
10,2004,June,6.37,12.25,7.35,74.02
3,2004,June,12.82,32.71,5.74,48.74
9,2004,June,10.28,32.30,3.96,53.46
1,2004,June,13.16,27.55,9.44,49.86
4,2004,June,7.16,27.40,6.09,59.35
8,2004,June,9.63,14.97,4.81,70.59
7,2004,June,8.20,16.67,4.44,70.70
2,2004,June,14.47,23.30,4.36,57.87
,2004,June,8.09,35.25,3.42,53.24
5,2004,June,11.16,19.14,4.78,64.91
6,2004,June,10.38,16.54,3.08,70.00
9,2004,July,8.39,36.17,4.07,51.37
2,2004,July,14.17,27.07,3.91,54.86
4,2004,July,5.80,28.59,6.61,59.00
7,2004,July,8.96,16.30,4.66,70.08
3,2004,July,12.32,30.70,6.06,50.92
1,2004,July,11.35,31.79,7.72,49.14
10,2004,July,9.33,14.44,3.56,72.67
,2004,July,10.02,33.07,3.34,53.58
8,2004,July,11.70,18.10,4.86,65.34
5,2004,July,10.98,19.51,5.69,63.82
6,2004,July,10.42,16.61,4.89,68.08
9,2004,August,7.67,32.89,3.80,55.64
3,2004,August,10.10,32.33,4.67,52.90
1,2004,August,12.39,33.21,9.36,45.05
4,2004,August,7.59,29.76,5.64,57.02
7,2004,August,9.03,19.70,5.51,65.77
,2004,August,8.67,35.71,2.89,52.72
5,2004,August,10.67,20.80,4.80,63.73
8,2004,August,9.68,16.22,4.73,69.37
10,2004,August,7.17,19.78,2.61,70.43
2,2004,August,14.61,27.40,5.84,52.15
6,2004,August,11.85,14.81,2.96,70.37
9,2004,September,7.00,29.78,4.00,59.21
3,2004,September,11.06,33.02,5.00,50.93
1,2004,September,10.89,34.45,9.59,45.07
4,2004,September,6.71,32.34,5.38,55.57
7,2004,September,8.94,19.31,4.41,67.34
2,2004,September,13.36,30.22,4.11,52.31
5,2004,September,13.67,22.24,2.35,61.74
8,2004,September,8.80,15.16,5.62,70.42
,2004,September,9.98,39.07,2.24,48.71
6,2004,September,10.29,16.46,4.94,68.31
10,2004,September,8.49,15.80,2.12,73.58
4,2004,October,6.64,26.57,6.29,60.50
3,2004,October,11.74,32.67,4.81,50.78
1,2004,October,10.49,34.62,9.18,45.72
9,2004,October,6.60,34.58,3.45,55.38
10,2004,October,8.37,15.48,3.97,72.18
2,2004,October,12.78,27.38,5.48,54.36
7,2004,October,6.73,21.82,5.54,65.91
5,2004,October,9.30,20.66,4.51,65.53
,2004,October,6.51,39.25,2.12,52.12
8,2004,October,9.70,16.17,2.54,71.59
6,2004,October,10.86,22.47,1.87,64.79
4,2004,November,6.54,30.12,6.11,57.22
3,2004,November,13.22,28.89,6.04,51.85
9,2004,November,9.88,34.19,3.15,52.78
5,2004,November,13.65,18.09,4.44,63.82
10,2004,November,11.31,14.40,5.14,69.15
2,2004,November,12.34,25.93,5.10,56.63
8,2004,November,13.04,19.02,5.43,62.50
1,2004,November,9.43,29.00,8.84,52.73
7,2004,November,9.94,21.81,4.52,63.74
,2004,November,8.38,40.72,3.39,47.50
6,2004,November,12.65,18.18,3.16,66.01
3,2004,December,11.95,29.35,6.00,52.70
4,2004,December,8.13,26.75,5.84,59.28
1,2004,December,10.01,29.72,9.49,50.77
8,2004,December,9.89,19.21,5.08,65.82
7,2004,December,5.41,21.15,5.52,67.92
2,2004,December,12.12,23.54,3.94,60.40
5,2004,December,11.93,21.25,3.98,62.84
10,2004,December,6.99,14.41,2.97,75.64
9,2004,December,8.62,32.79,3.89,54.70
,2004,December,8.33,34.28,2.84,54.55
6,2004,December,6.94,16.32,2.43,74.31
,2005,January,8.38,30.17,4.10,57.36
9,2005,January,7.07,29.70,3.38,59.84
2,2005,January,13.22,22.86,3.88,60.04
3,2005,January,12.63,29.35,5.87,52.15
6,2005,January,7.34,18.88,3.85,69.93
7,2005,January,7.44,18.49,4.53,69.53
1,2005,January,11.24,28.66,9.69,50.41
4,2005,January,7.19,31.25,5.10,56.46
5,2005,January,12.64,18.27,4.40,64.70
10,2005,January,7.47,9.16,5.06,78.31
8,2005,January,10.17,21.34,2.98,65.51
3,2005,February,15.05,31.24,6.27,47.43
1,2005,February,11.37,29.01,9.78,49.84
2,2005,February,12.32,25.96,4.90,56.82
4,2005,February,7.96,34.15,5.52,52.38
10,2005,February,8.70,16.43,2.90,71.98
,2005,February,6.68,40.65,2.10,50.57
7,2005,February,10.55,20.80,4.75,63.89
8,2005,February,11.63,14.68,3.88,69.81
9,2005,February,7.83,30.55,3.88,57.73
5,2005,February,11.78,20.62,5.40,62.19
6,2005,February,7.29,20.65,4.86,67.21
2,2005,March,12.80,25.70,4.44,57.07
1,2005,March,13.54,27.67,11.68,47.11
7,2005,March,8.97,21.77,3.94,65.32
4,2005,March,9.22,28.50,5.64,56.64
9,2005,March,9.69,33.29,3.82,53.20
3,2005,March,14.72,30.20,5.98,49.11
10,2005,March,7.83,19.08,3.41,69.68
8,2005,March,7.22,16.31,4.55,71.93
5,2005,March,13.10,22.20,3.19,61.50
,2005,March,8.12,36.35,3.51,52.03
6,2005,March,11.04,16.39,2.01,70.57
3,2005,April,14.93,28.50,5.87,50.70
,2005,April,10.58,35.99,3.90,49.54
4,2005,April,8.73,26.85,5.33,59.09
5,2005,April,12.45,17.51,3.97,66.07
1,2005,April,12.57,31.72,10.54,45.17
10,2005,April,5.98,12.41,3.91,77.70
2,2005,April,14.75,19.08,4.23,61.95
9,2005,April,7.93,32.31,2.59,57.17
7,2005,April,8.19,16.38,4.22,71.22
8,2005,April,13.44,18.00,4.33,64.24
6,2005,April,7.25,16.30,3.99,72.46
3,2005,May,13.56,29.54,5.62,51.28
1,2005,May,12.23,30.44,10.20,47.13
7,2005,May,7.32,20.59,4.23,67.85
4,2005,May,8.41,30.26,5.89,55.44
10,2005,May,7.39,12.06,4.47,76.07
9,2005,May,8.22,30.50,3.34,57.94
,2005,May,7.19,39.21,3.06,50.54
5,2005,May,10.41,18.84,4.71,66.05
8,2005,May,11.27,21.81,4.41,62.50
6,2005,May,6.79,20.36,5.71,67.14
2,2005,May,15.17,20.13,3.53,61.16
4,2005,June,7.41,28.76,5.92,57.92
1,2005,June,12.99,27.62,9.61,49.78
7,2005,June,9.37,15.79,5.39,69.45
2,2005,June,15.66,18.63,6.74,58.97
3,2005,June,14.45,32.32,5.18,48.05
5,2005,June,9.47,19.06,4.92,66.55
8,2005,June,11.55,15.90,4.36,68.19
10,2005,June,5.70,12.66,4.43,77.22
9,2005,June,9.18,30.60,2.31,57.91
,2005,June,8.91,35.66,3.88,51.55
6,2005,June,8.85,15.00,7.31,68.85
4,2005,July,7.54,28.73,6.31,57.42
5,2005,July,12.96,19.60,2.66,64.78
1,2005,July,13.61,26.48,9.22,50.68
3,2005,July,14.61,29.91,3.93,51.55
10,2005,July,8.17,13.69,3.04,75.10
9,2005,July,10.09,30.11,3.23,56.57
2,2005,July,14.83,21.98,3.99,59.20
8,2005,July,6.49,13.20,4.47,75.84
7,2005,July,7.29,20.05,5.13,67.54
,2005,July,8.44,33.39,5.14,53.03
6,2005,July,8.55,17.10,6.32,68.03
3,2005,August,13.68,29.21,5.81,51.31
2,2005,August,13.80,23.48,3.72,59.00
1,2005,August,14.69,25.93,8.88,50.50
9,2005,August,8.33,31.55,2.87,57.25
4,2005,August,6.95,27.38,6.28,59.39
7,2005,August,7.37,14.23,6.02,72.38
5,2005,August,11.18,12.72,3.51,72.59
8,2005,August,11.48,15.67,3.09,69.76
,2005,August,9.16,34.50,2.14,54.19
10,2005,August,4.76,13.87,3.31,78.05
6,2005,August,8.30,21.51,4.53,65.66
3,2005,September,13.48,27.52,5.53,53.48
4,2005,September,9.22,26.37,5.94,58.47
7,2005,September,10.86,15.23,6.70,67.21
5,2005,September,11.62,17.57,3.51,67.30
2,2005,September,14.03,18.42,4.39,63.17
9,2005,September,9.27,30.94,2.66,57.12
1,2005,September,12.53,25.88,10.28,51.31
10,2005,September,9.71,13.43,5.58,71.28
6,2005,September,10.94,12.83,3.02,73.21
,2005,September,8.33,36.71,3.77,51.19
8,2005,September,9.02,13.66,4.88,72.44
9,2005,October,7.27,31.03,2.49,59.21
1,2005,October,13.51,25.31,8.59,52.59
3,2005,October,12.83,29.13,5.05,52.99
10,2005,October,10.55,14.26,4.49,70.70
4,2005,October,9.61,26.12,4.67,59.59
2,2005,October,11.39,20.46,2.92,65.22
5,2005,October,11.55,17.64,4.72,66.09
7,2005,October,7.65,15.19,4.16,73.00
6,2005,October,9.68,17.56,6.09,66.67
,2005,October,8.50,36.53,3.25,51.72
8,2005,October,10.39,14.81,2.86,71.95
9,2005,November,7.34,31.53,2.32,58.81
7,2005,November,8.88,17.37,4.63,69.11
3,2005,November,14.68,26.57,5.82,52.94
10,2005,November,7.99,12.91,4.10,75.00
,2005,November,6.58,33.54,3.29,56.58
5,2005,November,10.59,15.13,3.99,70.29
1,2005,November,13.95,22.60,8.28,55.16
4,2005,November,7.89,26.91,5.62,59.59
8,2005,November,9.47,10.19,4.13,76.21
2,2005,November,14.17,20.76,3.57,61.50
6,2005,November,8.91,15.38,6.88,68.83
4,2005,December,8.15,24.55,5.31,61.99
1,2005,December,14.48,26.83,9.07,49.61
2,2005,December,15.94,19.40,4.57,60.09
9,2005,December,7.01,31.51,2.25,59.23
5,2005,December,11.70,17.40,4.24,66.67
3,2005,December,12.94,28.25,4.99,53.81
7,2005,December,8.13,18.85,4.12,68.90
8,2005,December,6.87,7.67,2.24,83.23
10,2005,December,6.19,13.07,4.13,76.61
,2005,December,8.20,33.92,2.44,55.43
6,2005,December,13.16,14.66,2.63,69.55
3,2006,January,14.58,28.82,4.11,52.50
2,2006,January,19.12,18.46,5.82,56.59
1,2006,January,15.98,26.72,9.78,47.51
9,2006,January,7.82,32.22,2.40,57.56
5,2006,January,14.42,14.98,5.13,65.46
4,2006,January,9.62,24.56,7.11,58.70
8,2006,January,14.16,15.01,4.53,66.29
,2006,January,8.80,38.58,2.25,50.37
7,2006,January,11.03,19.15,4.85,64.97
6,2006,January,13.18,12.22,2.57,72.03
10,2006,January,8.68,16.92,2.82,71.58
4,2006,February,11.39,26.87,7.01,54.73
1,2006,February,15.42,27.63,9.81,47.15
7,2006,February,13.07,19.92,3.88,63.13
3,2006,February,14.72,32.44,3.48,49.36
,2006,February,12.58,36.64,3.53,47.24
5,2006,February,13.24,17.15,4.58,65.03
9,2006,February,9.78,30.93,2.49,56.81
2,2006,February,17.38,23.99,4.28,54.35
8,2006,February,13.19,12.27,3.99,70.55
6,2006,February,9.25,13.17,3.20,74.38
10,2006,February,7.36,15.48,4.82,72.34
3,2006,March,15.63,29.39,5.19,49.79
4,2006,March,11.45,25.19,6.14,57.21
1,2006,March,15.79,27.88,9.15,47.19
,2006,March,11.29,35.45,3.96,49.31
7,2006,March,12.72,16.34,4.61,66.34
5,2006,March,16.37,17.54,3.95,62.13
8,2006,March,12.90,9.97,5.87,71.26
9,2006,March,9.51,36.26,2.45,51.78
10,2006,March,11.74,11.96,4.97,71.33
2,2006,March,14.52,24.13,4.37,56.99
6,2006,March,14.77,13.50,3.80,67.93
2,2006,April,15.04,19.55,4.62,60.79
3,2006,April,13.05,28.36,6.08,52.50
9,2006,April,9.67,36.00,2.56,51.78
1,2006,April,14.21,26.20,8.52,51.07
7,2006,April,12.04,18.06,6.02,63.88
4,2006,April,11.26,27.84,6.44,54.46
8,2006,April,12.61,13.81,4.20,69.37
5,2006,April,14.38,15.21,4.84,65.56
10,2006,April,9.52,15.48,3.77,71.23
6,2006,April,8.78,15.27,4.58,71.37
,2006,April,9.65,28.71,2.72,58.91
3,2006,May,12.65,31.17,5.30,50.88
1,2006,May,14.96,28.53,10.44,46.06
4,2006,May,10.67,26.66,5.85,56.81
7,2006,May,12.47,14.25,5.90,67.37
,2006,May,10.94,29.98,5.47,53.61
2,2006,May,14.42,22.83,4.11,58.64
9,2006,May,8.27,30.16,2.45,59.12
10,2006,May,11.58,10.95,3.16,74.32
6,2006,May,9.15,16.90,5.63,68.31
5,2006,May,11.51,15.98,5.37,67.14
8,2006,May,9.05,11.99,4.07,74.89
9,2006,June,8.01,28.44,2.73,60.82
5,2006,June,12.08,16.20,4.24,67.48
7,2006,June,12.01,15.02,4.89,68.08
1,2006,June,13.07,26.06,9.94,50.92
4,2006,June,9.11,26.16,5.44,59.29
3,2006,June,13.89,29.11,4.98,52.02
10,2006,June,9.59,16.20,2.99,71.22
2,2006,June,16.48,17.13,4.79,61.60
8,2006,June,11.82,17.00,4.93,66.26
,2006,June,13.61,28.53,5.24,52.62
6,2006,June,9.06,19.57,4.71,66.67
1,2006,July,14.11,29.07,9.15,47.67
3,2006,July,14.78,31.81,4.10,49.31
4,2006,July,8.51,26.58,6.35,58.57
9,2006,July,8.53,30.42,2.33,58.72
7,2006,July,11.91,17.30,6.29,64.49
10,2006,July,9.57,16.02,4.30,70.12
,2006,July,10.11,27.37,6.32,56.21
2,2006,July,11.76,21.21,4.90,62.12
5,2006,July,12.71,16.44,4.14,66.71
6,2006,July,8.74,20.39,4.53,66.34
8,2006,July,10.18,13.57,4.98,71.27
4,2006,August,9.20,26.34,5.26,59.20
1,2006,August,13.87,25.44,9.01,51.68
,2006,August,9.13,28.06,6.68,56.12
3,2006,August,12.51,29.39,3.61,54.49
2,2006,August,15.90,20.93,3.95,59.21
5,2006,August,12.28,19.16,4.45,64.10
7,2006,August,12.02,18.04,4.29,65.64
10,2006,August,10.93,16.10,3.18,69.78
8,2006,August,10.79,13.42,5.00,70.79
9,2006,August,6.75,32.94,2.25,58.06
6,2006,August,13.77,23.19,2.90,60.14
2,2006,September,11.85,22.80,3.65,61.70
3,2006,September,14.11,28.97,4.21,52.71
4,2006,September,7.90,26.71,5.80,59.59
1,2006,September,14.89,28.90,9.19,47.02
,2006,September,13.03,25.53,6.12,55.32
10,2006,September,9.64,18.42,3.21,68.74
7,2006,September,8.56,17.35,4.45,69.63
5,2006,September,11.11,20.20,4.76,63.92
9,2006,September,7.92,31.15,1.52,59.41
8,2006,September,9.14,13.58,3.66,73.63
6,2006,September,13.43,20.49,4.24,61.84
9,2006,October,8.14,28.14,2.60,61.11
1,2006,October,15.68,28.74,9.28,46.31
3,2006,October,14.57,28.78,3.67,52.98
2,2006,October,13.54,20.17,4.33,61.97
7,2006,October,8.23,15.11,4.06,72.60
5,2006,October,11.50,16.91,2.71,68.88
4,2006,October,7.04,26.60,5.38,60.98
8,2006,October,9.12,9.67,4.70,76.52
6,2006,October,10.43,21.17,3.68,64.72
,2006,October,9.11,23.89,3.69,63.30
10,2006,October,7.39,11.58,2.40,78.64
4,2006,November,7.54,24.23,5.34,62.90
5,2006,November,11.40,17.63,4.86,66.11
1,2006,November,13.28,29.50,9.63,47.59
3,2006,November,13.82,29.31,4.12,52.75
9,2006,November,6.68,27.99,2.79,62.54
2,2006,November,13.96,17.67,4.22,64.16
,2006,November,9.97,25.81,2.93,61.29
7,2006,November,6.61,15.72,3.43,74.24
6,2006,November,6.52,19.93,3.62,69.93
10,2006,November,10.79,12.45,1.45,75.31
8,2006,November,9.89,14.44,5.88,69.79
1,2006,December,15.11,25.39,8.60,50.89
9,2006,December,6.56,22.96,1.98,68.50
7,2006,December,9.73,16.91,4.74,68.61
3,2006,December,13.77,29.60,4.31,52.31
4,2006,December,6.87,23.04,4.99,65.09
6,2006,December,11.52,16.97,3.03,68.48
8,2006,December,7.66,10.77,3.35,78.23
10,2006,December,9.96,12.71,2.75,74.58
5,2006,December,12.71,14.80,3.91,68.58
2,2006,December,13.29,20.66,3.98,62.08
,2006,December,9.22,23.05,4.61,63.11
1,2007,January,16.03,22.25,11.17,50.55
3,2007,January,16.13,27.59,5.65,50.62
2,2007,January,14.52,19.63,4.40,61.45
9,2007,January,9.41,27.80,2.65,60.13
10,2007,January,11.23,11.23,6.24,71.31
4,2007,January,10.03,23.08,5.63,61.26
5,2007,January,12.91,13.92,5.16,68.01
8,2007,January,11.29,15.70,4.13,68.87
7,2007,January,12.66,14.20,6.15,66.98
6,2007,January,13.55,14.52,6.45,65.48
,2007,January,16.52,27.54,5.51,50.43
3,2007,February,14.02,29.61,5.03,51.34
7,2007,February,9.92,18.84,4.77,66.46
2,2007,February,12.98,24.09,3.96,58.97
4,2007,February,9.00,21.93,4.86,64.20
,2007,February,11.58,31.23,4.21,52.98
9,2007,February,9.74,30.12,2.91,57.22
10,2007,February,11.39,14.60,4.95,69.06
1,2007,February,14.43,28.68,8.64,48.24
5,2007,February,14.63,16.88,3.86,64.63
6,2007,February,11.76,19.85,4.41,63.97
8,2007,February,11.57,14.60,1.38,72.45
9,2007,March,9.33,29.49,2.92,58.26
4,2007,March,8.18,24.65,5.30,61.87
3,2007,March,12.72,27.96,4.21,55.12
2,2007,March,15.76,20.31,5.22,58.70
1,2007,March,15.92,23.54,9.91,50.64
7,2007,March,9.63,16.65,5.11,68.61
5,2007,March,11.07,14.21,3.69,71.04
8,2007,March,6.90,15.40,3.91,73.79
10,2007,March,9.42,14.43,4.61,71.54
,2007,March,11.46,28.79,6.50,53.25
6,2007,March,12.77,20.97,4.56,61.70
9,2007,April,8.94,33.49,2.65,54.92
3,2007,April,14.38,29.45,4.08,52.08
2,2007,April,13.57,21.37,6.35,58.71
4,2007,April,8.91,22.98,6.38,61.73
1,2007,April,15.59,24.12,10.01,50.29
5,2007,April,9.80,19.32,3.40,67.48
6,2007,April,7.44,17.36,4.96,70.25
,2007,April,14.33,31.27,4.56,49.84
7,2007,April,12.76,15.71,4.17,67.36
8,2007,April,6.42,13.10,4.01,76.47
10,2007,April,9.33,13.02,4.99,72.67
3,2007,May,14.55,31.60,4.03,49.82
4,2007,May,8.77,26.66,6.74,57.82
9,2007,May,7.67,35.91,2.39,54.03
5,2007,May,11.79,18.03,4.16,66.01
1,2007,May,13.87,26.13,10.10,49.90
2,2007,May,12.59,22.70,4.06,60.65
6,2007,May,12.92,18.46,6.15,62.46
7,2007,May,9.79,18.78,4.70,66.73
,2007,May,10.16,33.16,5.88,50.80
8,2007,May,12.09,15.58,2.79,69.53
10,2007,May,9.55,12.67,4.09,73.68
3,2007,June,12.86,30.37,4.36,52.41
5,2007,June,10.02,18.48,3.86,67.63
4,2007,June,9.28,25.36,5.50,59.86
1,2007,June,15.09,24.96,9.87,50.08
8,2007,June,10.09,16.09,3.22,70.60
7,2007,June,8.81,16.56,5.03,69.60
2,2007,June,11.72,19.89,4.09,64.31
9,2007,June,8.39,34.15,2.60,54.86
,2007,June,11.57,35.61,5.93,46.88
10,2007,June,7.53,13.14,3.21,76.12
6,2007,June,15.00,16.67,2.67,65.67
9,2007,July,9.07,32.96,2.02,55.95
5,2007,July,10.00,23.45,3.68,62.87
3,2007,July,13.34,28.94,4.33,53.38
2,2007,July,14.17,20.65,4.05,61.13
6,2007,July,10.31,23.68,2.79,63.23
,2007,July,13.03,38.30,5.59,43.09
4,2007,July,8.54,24.91,6.15,60.40
7,2007,July,6.95,16.87,4.09,72.09
1,2007,July,14.37,24.00,9.26,52.37
8,2007,July,8.67,15.01,4.65,71.67
10,2007,July,8.91,14.85,2.64,73.60
3,2007,August,14.84,30.89,4.43,49.83
1,2007,August,13.81,25.68,8.03,52.48
9,2007,August,8.33,39.26,2.71,49.70
